	categories_list
Teekyuu 2	[Comedy, BasedonaManga]
Teekyuu 2 Specials	[Comedy, BasedonaManga]
Teekyuu 3	[Comedy, BasedonaManga]
Teekyuu 3 Specials	[Comedy, BasedonaManga]
Teekyuu 4	[Comedy, BasedonaManga]
Teekyuu 4 Specials	[Comedy, BasedonaManga]
Teekyuu 5	[Comedy, BasedonaManga]
Teekyuu 5 Specials	[Comedy, BasedonaManga]
Teekyuu 6	[Comedy, BasedonaManga]
Teenage Mutant Ninja Turtles: Superman Legend	[Action, BasedonaComicBook, Ninja, Superpowers]
Tegami ~Haikei Juugo no Kimi e~	[MinnanoUta]
Tekkaman Blade	[Mecha, SciFi]
Tekkaman Blade II	[Mecha, SciFi]
Tekkaman Blade: Burning Clock	[]
Tekkaman Blade: Missing Link	[Mecha, SciFi]
Tekkaman Blade: Twin Blood	[Mecha, SciFi]
Tekkamen o Oe! D'Artagnan Monogatari Yori	[]
Tekken Chinmi	[MartialArts]
Tekken: Blood Vengeance	[Action, BasedonaVideoGame, CGAnimation, MartialArts, Revenge]
Tekken: The Motion Picture	[Action, BasedonaVideoGame, MartialArts]
Tekkon Kinkreet	[Drama, Fantasy, Psychological, Violence]
Tekuteku Arukou	[Adventure, FamilyFriendly]
Telepathy Shoujo Ran	[SciFi, BasedonaNovel, PsychicPowers, SchoolLife, Supernatural]
Television	[StopMotionAnimation]
Tell Your World	[Vocaloid]
Ten no Kawa	[Adventure, Fantasy, FamilyFriendly, MinnanoUta]
Tenamonya Voyagers	[Comedy, Ecchi, SciFi, OriginalWork]
Tenbatsu Angel Rabbie	[Magic]
Tenchi Movie 3: Tenchi Forever	[Drama, Harem, SciFi]
Tenchi Muyo! GXP	[Action, Comedy, Harem, SciFi]
Tenchi Muyo! Mihoshi Special	[Action, Comedy, SciFi, Parody, Police]
Tenchi Muyo! Ryo-Ohki	[Adventure, Comedy, Ecchi, Fantasy, Harem, SciFi, SuddenGirlfriendAppearance]
Tenchi Muyo! Ryo-Ohki 2	[Comedy, Ecchi, Fantasy, SpacePirates]
Tenchi Muyo! Ryo-Ohki 2 Special	[PictureDrama]
Tenchi Muyo! Ryo-Ohki 3	[Comedy, Ecchi, Fantasy, SpacePirates]
Tenchi Muyo! Ryo-Ohki 3 Plus 1	[Comedy, Ecchi, Fantasy, SpacePirates]
Tenchi Muyo! Ryo-Ohki 4	[Comedy, Ecchi, Fantasy]
Tenchi Muyo! The Night Before The Carnival	[Comedy, Ecchi, Fantasy, SpacePirates]
Tenchi The Movie 2: The Daughter Of Darkness	[Drama, Harem, SciFi]
Tenchi The Movie: Tenchi Muyo! In Love	[Drama, Harem, SciFi]
Tenchi Universe	[Adventure, Comedy, Fantasy, Harem, SciFi]
Tenchi in Tokyo	[Comedy, Fantasy, Harem, Romance, SciFi, SchoolLife]
Tenchi in Tokyo Specials	[]
Tengen Toppa Gurren Lagann	[Action, Adventure, Comedy, Mecha, SciFi, Shounen, OriginalWork, Post-apocalyptic]
Tengen Toppa Gurren Lagann Gekijouban Zenyasai Special: Viral's Sweet Dream	[PictureDrama, Shorts]
Tengen Toppa Gurren Lagann OVA	[]
Tengen Toppa Gurren Lagann Parallel Works	[Action, Adventure, Comedy]
Tengen Toppa Gurren Lagann Parallel Works 2	[Action, Mecha]
Tengen Toppa Gurren Lagann: Guren-Hen	[Action, Adventure, Comedy, Mecha, SciFi, Shounen, Recap]
Tengen Toppa Gurren Lagann: Kirameki Yoko Box ~Pieces of Sweet Stars~	[Ecchi, SliceofLife]
Tengen Toppa Gurren Lagann: Lagann-hen	[Action, Mecha, SciFi]
Tengu Taiji	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Tenjho Tenge	[Ecchi, Shounen, HandtoHandCombat, MartialArts, MartialArtsSchool, PantyShots, SchoolLife, Violence]
Tenjho Tenge: The Past Chapter	[Action, Ecchi, HandtoHandCombat, MartialArts, PantyShots]
Tenjho Tenge: Ultimate Fight	[Ecchi, Shounen]
Tenkai Knights	[Action, Mecha, SciFi, Aliens, Robots]
Tenku Senki Shurato	[Fantasy]
Tenku Senki Shurato OVA	[]
Tenkuu Danzai Skelter Heaven	[Action, Mecha, SciFi, BasedonaVideoGame]
Tenpou Ibun Ayakashi Ayashi	[Action, Fantasy, Demons, FeudalJapan, OriginalWork]
Tenpou Ibun Ayakashi Ayashi: Ayashi Divine Comedy	[FeudalJapan]
Tensai Bakavon: Yomigaeru Flanders no Inu	[Comedy]
Tenshi Nanka ja Nai	[Drama, Romance, SchoolLife]
Tenshi na Konamaiki	[Comedy, ReverseHarem, BasedonaManga, Delinquents, GenderBender, SchoolLife, Supernatural]
Tenshi ni Narumon!	[FamilyFriendly]
Tentai Senshi Sunred	[Comedy, BasedonaManga, Monsters, Parody]
Tentai Senshi Sunred 2	[Comedy, BasedonaManga, Monsters, Parody]
Tentai Senshi Sunred Specials	[Comedy, BasedonaManga, Monsters, Parody]
Tentoumushi no Otomurai	[]
Terra Formars	[Action, Horror, SciFi, BasedonaManga, ExplicitViolence, Insects, Superpowers]
Terra Formars OVA	[Action, Horror, SciFi, ExplicitViolence, Insects, MatureThemes, Superpowers, Survival]
Terra Formars: Revenge	[Action, Horror, SciFi, BasedonaManga, ExplicitViolence, Insects, Superpowers]
Tesagure! Bukatsumono	[Comedy, SliceofLife, SchoolLife]
Tesagure! Bukatsumono Encore	[]
Tesagure! Bukatsumono: Spin-off Puru Purun Sharumu to Asobou	[Comedy, SliceofLife, SchoolLife]
Tetsujin 28-gou	[Mecha, SciFi, BlackandWhite]
Tetsujin 28-gou (1980)	[Mecha]
Tetsujin 28-gou (2004)	[Action, Mecha, SciFi, Shounen]
Tetsujin 28-gou FX	[]
Tetsujin 28-gou: Hakuchuu no Zangetsu	[]
Tetsuko no Tabi	[Comedy, Seinen, Trains]
Tetsuwan Birdy Decode: The Cipher	[]
Texhnolyze	[SciFi, Seinen, Cyberpunk, Dystopia, MatureThemes, OriginalWork, Psychological, SexualAbuse, Violence]
Tezuka Osamu Monogatari: Boku wa Son Gokuu	[]
Tezuka Osamu ga Kieta?! 20 Seiki Saigo no Kaijiken	[Mystery]
Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku	[Drama, BasedonaManga, Historical, Religion, Violence]
Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning	[Religion]
The Adventures of the Little Prince	[Adventure]
The Ambition of Oda Nobuna	[Action, BasedonaLightNovel, FeudalJapan, Historical, PersoninaStrangeWorld, TimeTravel, War]
The Ambition of Oda Nobuna Recap	[Recap]
The Anthem of the Heart	[Drama, OriginalWork, Supernatural]
The Asterisk War	[Action, Fantasy, Romance, BasedonaLightNovel]
The Asterisk War (2016)	[Action, Fantasy, Romance, BasedonaLightNovel]
The Asylum Session	[SciFi]
The Bathroom	[Abstract, BlackandWhite, Shorts, StopMotionAnimation]
The Big O	[Action, Mecha, SciFi, Androids, Episodic, OriginalWork, Post-apocalyptic, Robots]
The Big O II	[Action, Mecha, SciFi, Androids, OriginalWork, Post-apocalyptic, Robots]
The Boy Who Saw The Wind	[Adventure, Fantasy, Military]
The Bride Stripped Bare by Her Bachelors	[Shorts]
The Cat Returns	[Fantasy, AnimalProtagonists, BasedonaManga, FamilyFriendly]
The Chocolate Panic Picture Show	[]
The Daichis: Earth's Defense Family	[Action, Comedy]
The Daichis: Earth's Defense Family Special	[]
The Diary of Ochibi	[SliceofLife, BasedonaManga, JapanAnimator'sExhibition, Shorts, StopMotionAnimation]
The Diary of Tortov Roddle	[Adventure, Fantasy, Abstract, OriginalWork]
The Diary of Tortov Roddle Specials	[Adventure, Fantasy, Abstract, OriginalWork]
The Disappearance of Conan Edogawa: The Worst Two Days in History	[]
The Disappearance of Haruhi Suzumiya	[Drama, SciFi, Psychological, TimeTravel]
The Disappearance of Nagato Yuki-chan	[Romance, SliceofLife, BasedonaManga, SchoolLife]
The Disappearance of Nagato Yuki-chan OVA	[Romance, SliceofLife, BasedonaManga]
The Doraemons: Goal! Goal! Goal!	[Sports, FamilyFriendly, Shorts, Soccer]
The Doraemons: Kaitou Dorapan Nazo no Chousenjou!	[Action, FamilyFriendly]
The Doraemons: Mushimushi Pyonpyon Daisakusen!	[]
The Dragon Dentist	[Fantasy, Dragons, JapanAnimator'sExhibition, Shorts]
The Eccentric Family	[Comedy, Fantasy, SliceofLife, Youkai]
The Eden of Grisaia	[Comedy, Drama, BasedonaVisualNovel, Military, SexualContent]
The Eden of Grisaia Specials	[Comedy, Ecchi, BasedonaVisualNovel, Nudity]
The Enchanted Journey	[Adventure, AnimalProtagonists]
The Epic of Zektbach	[Action, Swordplay]
The Flowers of Evil	[BasedonaManga, Blackmail, EmotionalAbuse, PhysicalAbuse, Psychological, SchoolLife]
The Four Seasons	[Promotional]
The Fruit of Grisaia	[Comedy, Drama, Ecchi, Romance, AnimalAbuse, BasedonanEroge, BasedonaVisualNovel, EmotionalAbuse, Psychological, SchoolLife]
The Fruit of Grisaia Specials	[]
The Golden Laws	[Religion]
The Great Rabbit	[Shorts]
The Green Wind	[Promotional, Shorts]
The Guyver: Bio-Booster Armor	[SciFi, BasedonaManga]
The Guyver: Bio-Booster Armor II	[SciFi, BasedonaManga]
The Hakkenden Digest	[]
The Hakkenden: Shin Shou	[]
The Hard: Bounty Hunter	[BountyHunters]
The Harmonic Gleam Vibration	[Shorts]
The IDOLM@STER: Cinderella Girls	[BasedonaVideoGame, Idols]
The IDOLM@STER: Cinderella Girls Second Series	[BasedonaVideoGame, Idols]
The IDOLM@STER: Cinderella Girls: Special Program	[Recap]
The Ideon: A Contact	[Mecha, SciFi, OuterSpace]
The Ideon: Be Invoked	[Mecha, SciFi, OuterSpace]
The Irregular at Magic High School	[Comedy, Romance, BasedonaLightNovel, Magic, SchoolLife]
The Kabocha Wine	[Comedy, Romance, SchoolLife]
The Labyrinth of Grisaia	[BasedonaVisualNovel]
The Labyrinth of Grisaia Special	[BasedonaVisualNovel]
The Laws of Eternity	[Adventure, Fantasy, Religion]
The Laws of the Sun	[Religion]
The Legend Of The Dog Warriors: The Hakkenden	[Action, FeudalJapan, Supernatural, Violence]
The Littl' Bits	[Adventure, Comedy, Fantasy, FamilyFriendly]
The Magic of Chocolate	[Horror, Mystery, MysteriousShop]
The Man Next Door	[Shorts]
The Melancholy of Haruhi Suzumiya	[Comedy, BasedonaLightNovel, SchoolClub, SchoolLife]
The Midnight Animals	[AnimalProtagonists, CGAnimation, OriginalWork]
The Midnight Parasites	[Shorts]
The Mysterious Cities of Gold	[Adventure, Historical, OriginalWork]
The Mystical Laws	[Fantasy, SciFi, Religion]
The New Adventures of Kimba The White Lion	[AnimalProtagonists]
The New Prince of Tennis	[Sports, Tennis]
The New Prince of Tennis OVA vs. Genius 10	[Sports, Tennis]
The New Prince of Tennis Specials	[Sports, Tennis]
The Nighthawk Star	[Fantasy, Shorts]
The Perfect Insider	[Drama, Mystery, BasedonaNovel, noitaminA]
The Place Promised In Our Early Days	[Drama, Romance, SciFi, OriginalWork]
The Prince of Tennis Flash Specials	[FlashAnimation]
The Restaurant of Many Orders	[OriginalWork, Shorts]
The Rolling Girls	[Action, Adventure, Comedy, OriginalWork, Superpowers]
The Rolling Girls Specials	[Comedy, OriginalWork]
The Room	[Abstract, Shorts]
The Rose of Versailles	[Drama, Romance, Shoujo, BasedonaManga, Europe, Historical, Political]
The Sacred Blacksmith	[Adventure, Fantasy, Seinen, BasedonaLightNovel]
The Samurai	[Comedy, Ecchi, Ninja, Samurai]
The Secret World of Arrietty	[Fantasy, BasedonaNovel, FamilyFriendly]
The Seven Deadly Sins	[Action, Adventure, Fantasy, Shounen, AnimalAbuse, BasedonaManga, Superpowers, Violence]
The Seven Deadly Sins (2016)	[Action, Adventure, Fantasy, Shounen, BasedonaManga, Superpowers, Violence]
The Seven Deadly Sins OVA	[Action, Adventure, Fantasy, Shounen, BasedonaManga, Superpowers]
The Severing Crime Edge	[Fantasy, BasedonaManga, HighStakesGames]
The Stingiest Man in Town	[BasedonaNovel]
The TV Show	[]
The Tale of the Princess Kaguya	[Fantasy, ComingofAge, Historical, JapaneseMythology]
The Tales of Rien Village #1	[Shorts, StopMotionAnimation]
The Testament of Sister New Devil	[Action, Comedy, Ecchi, Fantasy, Harem, BasedonaLightNovel, Demons, ExplicitSex]
The Testament of Sister New Devil BURST	[Action, Ecchi, Harem, BasedonaLightNovel, Demons, EmotionalAbuse, ExplicitSex, PhysicalAbuse, SexualAbuse]
The Testament of Sister New Devil BURST OVA	[Ecchi, BasedonaLightNovel, Demons]
The Testament of Sister New Devil OVA	[Ecchi, BasedonaLightNovel, Demons, ExplicitSex]
The Testament of Sister New Devil Specials	[Ecchi, Demons, ExplicitSex, Omake]
The Third: The Girl with the Blue Eye	[Action, Adventure, SciFi, BasedonaLightNovel, Post-apocalyptic]
The Tibetan Dog	[Drama, Countryside, FamilyFriendly]
The Trapp Family Story	[Drama, BasedonaNovel, Europe, FamilyFriendly, WorldMasterpieceTheater]
The Twelve Kingdoms	[Fantasy, BasedonaLightNovel, PersoninaStrangeWorld, Political]
The Ultraman	[Action, SciFi, JapanAnimator'sExhibition, Monsters, Shorts, Superpowers]
The Wash Bird of the Wash Island	[FlashAnimation, Shorts]
The Wind Rises	[Drama, Aviation, Historical, WorldWar2]
The Window	[Shorts]
The World is Still Beautiful	[Fantasy, Romance, Shoujo, BasedonaManga]
The iDOLM@STER	[Idols, Music]
The iDOLM@STER Movie	[Idols, Music]
The iDOLM@STER Special	[Idols]
The iDOLM@STER: Live For You!	[Idols]
The iDOLM@STER: Onegai Cinderella	[Idols]
The iDOLM@STER: Shiny Festa	[Idols]
The iDOLM@STER: Xenoglossia	[Mecha, SciFi, BasedonaVideoGame, Idols]
The iDOLM@STER: Xenoglossia Specials	[Idols]
There She Is!!	[Drama, Romance]
Thermae Romae	[Comedy, Seinen, BasedonaManga, Historical, noitaminA, TimeTravel]
Thermae Romae x Yoyogi Animation Gakuin Collaboration	[Comedy]
They Are My Noble Masters	[Comedy, Ecchi, Harem, Shoujo-ai, BasedonanEroge, BasedonaVisualNovel, Incest, Maids, Nudity, PantyShots]
They Were Eleven	[Mystery, SciFi, OuterSpace, Psychological]
This Ugly Yet Beautiful World	[Action, Romance, SciFi, Environmental, Nudity, OriginalWork, SuddenGirlfriendAppearance]
Those Who Hunt Elves	[Action, Adventure, Comedy, Fantasy]
Those Who Hunt Elves II	[Action, Adventure, Comedy, Fantasy]
Three Fallen Witnesses	[Mystery, JapanAnimator'sExhibition, Shorts]
Thumbelina: A Magical Story	[Adventure, Fantasy, PersoninaStrangeWorld]
Thunder Jet	[Action, SciFi, OuterSpace, Political, War]
Thundercats	[]
Thundercats: Snarf - Butterfly Blues	[]
Ticonderonga no Iru Umi	[]
Tide-Line Blue	[Action, Adventure, SciFi, Military, OriginalWork, Post-apocalyptic, War]
Tide-Line Blue Special	[]
Tiger & Bunny	[Action, Comedy, SciFi, OriginalWork, Superpowers]
Tiger & Bunny Pilot	[]
Tiger & Bunny The Movie: The Rising	[Action, Comedy, SciFi, OriginalWork, Superpowers]
Tiger & Bunny the Movie: The Beginning	[Action, Comedy, SciFi, OriginalWork, Superpowers]
Tiger Mask	[Sports]
Tiger Mask II	[Sports]
Tight-rope	[Shounen-ai]
Time Bokan	[Mecha, SciFi]
Time Bokan: Royal Revival	[Action, Comedy, Mecha, SciFi]
Time Jam: Valerian & Laureline	[SciFi, TimeTravel]
Time Patrol-Tai Otasukeman	[]
Time Stranger Kyoko	[]
To	[SciFi, OuterSpace]
To All the Corners of the World	[BasedonaManga]
To Aru Hikuushi e no Koiuta	[Fantasy, Romance, Aviation, BasedonaLightNovel]
To Aru Kagaku no Railgun	[Action, SciFi, BasedonaLightNovel, PsychicPowers, Supernatural]
To Aru Kagaku no Railgun OVA	[Action, SciFi, Magic, PsychicPowers, Supernatural]
To Aru Kagaku no Railgun S	[Action, SciFi, Magic, PsychicPowers, Supernatural]
To Aru Kagaku no Railgun S Specials	[Comedy, SciFi, Magic, PsychicPowers, Supernatural]
To Aru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta	[]
To Aru Kagaku no Railgun Specials	[Comedy, SciFi, Magic, PsychicPowers, Supernatural]
To Aru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne	[]
To Aru Majutsu no Index	[Action, SciFi, BasedonaLightNovel, Magic, Supernatural, Superpowers]
To Aru Majutsu no Index 10th Anniversary PV	[Promotional]
To Aru Majutsu no Index II	[Action, BasedonaLightNovel, Magic, PsychicPowers, Supernatural, Superpowers]
To Aru Majutsu no Index II: A Certain Magical Index-tan	[Comedy, SciFi, Chibi, Magic, PsychicPowers, Supernatural, Superpowers]
To Aru Majutsu no Index Movie	[Action, SciFi, BasedonaLightNovel, Magic, PsychicPowers, Supernatural, Superpowers]
To Aru Majutsu no Index: A Certain Magical Index-tan	[Comedy, SciFi, BasedonaLightNovel, Magic, Parody, PsychicPowers, Supernatural, Superpowers]
To Aru Majutsu no Index: Endymion no Kiseki Special	[Comedy, SciFi, Magic, PsychicPowers, Superpowers]
To Heart	[Romance, Androids, BasedonanEroge, BasedonaVisualNovel, LoveTriangle, Robots, SchoolLife]
To Heart 2	[Romance, SchoolLife]
To Heart 2 AD Next	[]
To Heart 2 AD OVA	[Ecchi, Harem, Romance, PantyShots]
To Heart 2 AD Plus	[Harem, SliceofLife]
To Heart 2 OVA	[Ecchi, Romance, SliceofLife, PantyShots, SchoolLife]
To Heart 2: Dungeon Travelers	[Fantasy, RPG]
To Heart 2: Special Compilation	[Recap]
To Heart Specials	[]
To Heart ~Remember My Memories~	[Romance, Androids, LoveTriangle, Robots, SchoolLife]
To Heart ~Remember My Memories~ Specials	[]
To Love-Ru	[Comedy, Ecchi, Harem, Romance, SciFi, SliceofLife, Aliens, BasedonaManga, LoveTriangle, Nudity, PantyShots, SchoolLife, SuddenGirlfriendAppearance]
To Love-Ru OVA	[Comedy, Ecchi, Harem, SciFi, SliceofLife, Aliens, BasedonaManga, GenderBender, LoveTriangle, Nudity, PantyShots]
To Love-Ru: Darkness	[Comedy, Ecchi, Harem, Romance, SciFi, SliceofLife, Aliens, BasedonaManga, LoveTriangle, Nudity, PantyShots, SchoolLife, SexualContent]
To Love-Ru: Darkness 2nd	[Comedy, Ecchi, Harem, Romance, SciFi, SliceofLife, Aliens, BasedonaManga, LoveTriangle, Nudity, PantyShots, SchoolLife, SexualContent]
To Love-Ru: Darkness 2nd OVA	[Comedy, Ecchi, Harem, SciFi, SliceofLife, Aliens, BasedonaManga, LoveTriangle, Nudity, PantyShots, SexualContent]
To Love-Ru: Darkness 2nd Specials	[Comedy, Ecchi, Harem, Romance, SliceofLife, Aliens, BasedonaManga, LoveTriangle, Nudity, PantyShots, SchoolLife, SexualContent]
To Love-Ru: Darkness OVA	[Comedy, Ecchi, Harem, Romance, SciFi, SliceofLife, Aliens, BasedonaManga, LoveTriangle, Nudity, PantyShots, SexualContent]
To-Y	[Delinquents, Idols, Music]
Tobe! Kujira no Peek	[]
Tobidasu PriPara: Minna de Mezase! IdolGrand Prix	[Idols, Music]
Tobira o Akete (1986)	[]
Tobira o Akete (1995)	[Abstract, Shorts]
Toei Robot Girls	[SciFi, Parody]
Togainu no Chi	[Action, BasedonanOtomeGame, BasedonaVisualNovel, HighStakesGames, MatureThemes, SexualContent, Violence]
Toki no Tabibito: Time Stranger	[]
Toki wa Meguru: Tokyo Station	[Promotional, Shorts, Trains]
Toki wo Kakeru Shoujo	[Romance, SciFi, SliceofLife, BasedonaNovel, SchoolLife, TimeTravel]
Tokimeki Memorial	[Romance, BasedonaVisualNovel, SchoolLife]
Tokimeki Memorial 4 OVA	[]
Tokimeki Memorial ~Only Love~	[Harem, Romance, BasedonaVisualNovel, SchoolLife]
Tokimeki Memorial ~Only Love~ Specials	[]
Tokimeki Tonight	[]
Tokimeki Tonight Recaps	[]
Tokio Heidi Stand	[FamilyFriendly, Shorts]
Tokko	[Horror, BasedonaManga, ExplicitViolence, Nudity, PhysicalAbuse, Police]
Tokusou Kihei Dorvack	[Mecha]
Tokyo Babylon	[Fantasy, Mystery, BasedonaManga, Detectives, Supernatural]
Tokyo Babylon: Vision	[]
Tokyo Daigaku Monogatari	[Comedy, Drama, Romance, MatureThemes, SchoolLife]
Tokyo ESP	[Action, SciFi, Shounen, BasedonaManga, Supernatural]
Tokyo Ghoul	[Action, Horror, Seinen, BasedonaManga, ExplicitViolence, PhysicalAbuse, Psychological, Thriller]
Tokyo Ghoul A	[Action, Horror, Seinen, Psychological, Thriller, Violence]
Tokyo Ghoul: Jack	[BasedonaManga, Supernatural]
Tokyo Ghoul: Pinto	[Action, Horror, Thriller]
Tokyo Girls' Style: LolitAStrawberry in Summer	[]
Tokyo Godfathers	[Adventure, Comedy, Drama, OriginalWork]
Tokyo Loop	[Abstract, Collections]
Tokyo Magnitude 8.0	[Drama, Earthquake, NaturalDisaster, noitaminA, OriginalWork, Survival]
Tokyo Majin Gakuen Kenpuchou Tou	[Action, Horror, BasedonaVideoGame, Demons, Supernatural, Superpowers]
Tokyo Majin Gakuen Kenpuchou Tou Dai Ni Maku	[Action, Horror, BasedonaVideoGame, Demons, Supernatural, Superpowers]
Tokyo Marble Chocolate	[Drama, Romance, SliceofLife, ComingofAge, OriginalWork]
Tokyo Mew Mew	[MagicalGirl, Romance, SciFi, Shoujo, Aliens, BasedonaManga, Magic, Monster-of-the-week]
Tokyo Pig	[Comedy, SliceofLife, Chibi, Episodic, FamilyFriendly]
Tokyo Project	[Action, Mecha, Detectives]
Tokyo Punch!	[]
Tokyo Ravens	[Action, BasedonaLightNovel, MagicSchool, SchoolLife, Supernatural]
Tokyo Ravens Specials	[]
Tokyo Revelation	[Action, Horror, Demons, Nudity]
Tokyo Tribe 2	[Action, BasedonaManga, ExplicitViolence, Nudity]
Tokyo Underground	[Action, Shounen, BasedonaManga, Superpowers]
Tom Sawyer no Bouken	[America, BasedonaNovel, FamilyFriendly, WorldMasterpieceTheater]
Tomoe ga Yuku!	[Action, Drama, Romance, Shoujo, BasedonaManga]
Tomorrow from there	[JapanAnimator'sExhibition, Shorts]
Tomorrow's Song	[FamilyFriendly, MinnanoUta]
Tonagura!	[Comedy, Ecchi, Romance, BasedonaManga]
Tonari no 801-chan R	[BasedonaManga, Shorts]
Tonari no Kaibutsu-kun	[Comedy, Romance, SliceofLife, BasedonaManga, SchoolLife]
Tonari no Kaibutsu-kun OVA	[Comedy, Romance, BasedonaManga, FeudalJapan]
Tonari no Seki-kun	[Comedy, BasedonaManga, SchoolLife]
Tonari no Seki-kun OVA	[Comedy, BasedonaManga]
Tonari no Seki-kun Specials	[Comedy, BasedonaManga]
Tondemo Senshi Muteking	[Action, SciFi, Aliens]
Tongari Boushi no Memoru	[Fantasy, FamilyFriendly]
Tonkatsu DJ Agetarou	[Comedy, BasedonaManga, Music]
Tono to Issho	[Comedy, BasedonaManga, FeudalJapan, Historical, Parody]
Tono to Issho 2	[Comedy, BasedonaManga, FeudalJapan, Historical, Parody]
Tono to Issho OVA	[Comedy, BasedonaManga, FeudalJapan, Historical, Parody]
Topo Gigio	[AnimalProtagonists, FamilyFriendly]
Tora-chan no Kankan Mushi	[AnimalProtagonists, BlackandWhite, Shorts]
Tora-chan to Hanayome	[AnimalProtagonists, Shorts]
Toradora SOS!	[Comedy, BasedonaLightNovel, Chibi, FoodandBeverage, Omake]
Toradora!	[Comedy, Romance, BasedonaLightNovel, ComingofAge, SchoolLife, Tsundere]
Toradora! Special	[Comedy, BasedonaLightNovel, SchoolLife]
Torajima no Miime	[]
Tori no Uta	[Abstract, Ga-nime]
Toriko	[Action, Adventure, Comedy, Shounen, BasedonaManga, FoodandBeverage]
Toriko 3D: Kaimaku Gourmet Adventure!!	[Action, Comedy, Shounen, BasedonaManga, FoodandBeverage]
